year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2017,KGZ,physint,7.744180679,0.842690229,6.665537357,8.822824478
2018,KGZ,physint,7.687049866,0.840259671,6.611517429,8.762581825
2017,KGZ,polpart,6.558835506,0.273922294,6.20821476,6.909456253
2018,KGZ,polpart,3.797730207,0.396631688,3.290041685,4.305418968
2017,KGZ,tort,3.90896678,0.535024047,3.224136114,4.593797684
2018,KGZ,tort,3.746394634,0.539480448,3.055859566,4.436929703
2017,KOR,arrest,7.859806538,0.09425579,7.739159107,7.980453968
2018,KOR,arrest,7.854999065,0.094513692,7.734021664,7.975976467
2017,KOR,assem,7.478717804,0.516622543,6.817440987,8.139994621
2018,KOR,assem,7.506127834,0.550423622,6.801585674,8.210670471
2017,KOR,disap,9.316161156,0.701337337,8.418449402,10.21387291
2018,KOR,disap,9.316161156,0.701337337,8.418449402,10.21387291
2017,KOR,dpex,7.967671394,0.237812907,7.66327095,8.272071838
2018,KOR,dpex,7.967682362,0.237794399,7.663305759,8.272059441
2017,KOR,empower,6.97847271,0.917279184,5.804355145,8.152589798
2018,KOR,empower,7.063123226,0.864834189,5.956135273,8.170110703
2017,KOR,execution,7.967671394,0.237812907,7.66327095,8.272071838
2018,KOR,execution,7.967682362,0.237794399,7.663305759,8.272059441
2017,KOR,exkill,8.16036129,0.342077076,7.722502708,8.598219872
2018,KOR,exkill,8.16036129,0.342077076,7.722502708,8.598219872
2017,KOR,express,6.451663971,0.411962599,5.924351692,6.97897625
2018,KOR,express,6.476026058,0.408527195,5.953111172,6.998940945
2017,KOR,physint,7.833349705,0.862350583,6.729540825,8.937158585
2018,KOR,physint,7.901535511,0.856839716,6.804780483,8.998290062
2017,KOR,polpart,7.363167763,0.22851716,7.070665836,7.655669689
2018,KOR,polpart,7.363167763,0.22851716,7.070665836,7.655669689
2017,KOR,tort,8.033530235,0.453967303,7.452452183,8.614608765
2018,KOR,tort,8.042168617,0.458850384,7.454840183,8.629497528
2017,LBR,arrest,6.339134216,1.014184713,5.040977955,7.637290478
2018,LBR,arrest,5.734832764,0.897013009,4.586656094,6.883009434
2017,LBR,assem,9.094700813,0.356108159,8.638882637,9.55051899
2018,LBR,assem,9.094700813,0.356108159,8.638882637,9.55051899
2017,LBR,disap,8.311484337,0.069541924,8.222470284,8.40049839
2018,LBR,disap,7.448047638,0.573263705,6.714270115,8.181825638
2017,LBR,dpex,8.361256599,0.114290334,8.214964867,8.507548332
2018,LBR,dpex,8.361253738,0.11429926,8.214950562,8.507556915
2017,LBR,empower,8.288417816,0.949729621,7.07276392,9.504072189
2018,LBR,empower,8.499938965,0.989109099,7.233879089,9.76599884
2017,LBR,execution,7.302488327,0.678859115,6.43354845,8.171427727
2018,LBR,execution,6.629562378,0.567322433,5.903389454,7.355735302
2017,LBR,exkill,7.302488327,0.678859115,6.43354845,8.171427727
2018,LBR,exkill,6.629562378,0.567322433,5.903389454,7.355735302
2017,LBR,express,7.499866486,0.915494919,6.32803297,8.671699524
2018,LBR,express,8.04972744,0.631638825,7.241229534,8.858224869
2017,LBR,physint,7.000183105,0.84069103,5.924098492,8.076267242
2018,LBR,physint,6.486706734,0.83824873,5.413748264,7.559665203
2017,LBR,polpart,7.72476244,1.251907349,6.122321129,9.327203751
2018,LBR,polpart,7.854337692,0.573910594,7.119731903,8.588943481
2017,LBR,tort,6.133953094,0.537249684,5.446273327,6.821632862
2018,LBR,tort,4.553790092,0.492582887,3.923284054,5.184296131
2017,MEX,arrest,2.908890963,0.007319063,2.899522543,2.918259382
2018,MEX,arrest,2.908890963,0.007319063,2.899522543,2.918259382
2017,MEX,assem,6.269343853,0.628344715,5.465062618,7.073625088
2018,MEX,assem,6.269343853,0.628344715,5.465062618,7.073625088
2017,MEX,disap,2.205443621,0.532304943,1.52409327,2.886793852
2018,MEX,disap,2.205443621,0.532304943,1.52409327,2.886793852
2017,MEX,dpex,9.035683632,0.204091534,8.774446487,9.296920776
2018,MEX,dpex,9.035689354,0.204089746,8.774454117,9.296924591
2017,MEX,empower,4.321783066,0.855912149,3.226215601,5.417350769
2018,MEX,empower,4.439508438,0.844322085,3.358776093,5.520240784
2017,MEX,execution,3.42679143,0.320023775,3.017160892,3.836421967
2018,MEX,execution,3.426790953,0.320023298,3.017161131,3.836420774
2017,MEX,exkill,3.42679143,0.320023775,3.017160892,3.836421967
2018,MEX,exkill,3.426790953,0.320023298,3.017161131,3.836420774
2017,MEX,express,3.925276995,0.094741605,3.804007769,4.046546459
2018,MEX,express,3.925283909,0.09499874,3.803685427,4.046882153
2017,MEX,physint,3.417423248,0.839687824,2.342622757,4.49222374
2018,MEX,physint,3.431087732,0.83040756,2.36816597,4.494009495
2017,MEX,polpart,3.926654816,0.202076018,3.667997599,4.185312271
2018,MEX,polpart,4.431475163,0.225661278,4.14262867,4.720321655
2017,MEX,tort,1.770024896,0.48565352,1.148388386,2.391661406
2018,MEX,tort,1.871020198,0.489012569,1.245084167,2.496956348
2017,MOZ,arrest,3.910638332,0.56829071,3.183226109,4.638050556
2018,MOZ,arrest,3.782387257,0.684186518,2.906628609,4.658145905
2017,MOZ,assem,5.539292812,0.235734627,5.237552643,5.841032982
2018,MOZ,assem,5.106199265,0.481833309,4.489452839,5.72294569
2017,MOZ,disap,5.286861897,0.226519138,4.996917248,5.576806545
2018,MOZ,disap,4.681402683,0.047164537,4.621032238,4.741773129
2017,MOZ,dpex,9.118656158,0.15662168,8.918180466,9.319131851
2018,MOZ,dpex,9.11865139,0.156630009,8.918165207,9.319137573
2017,MOZ,empower,3.743663311,0.825102925,2.687531471,4.799795151
2018,MOZ,empower,4.101801395,0.829971194,3.039438248,5.164164543
2017,MOZ,execution,6.830283165,0.021843109,6.802323818,6.858242512
2018,MOZ,execution,5.377222538,0.686874151,4.49802351,6.256421566
2017,MOZ,exkill,6.830283165,0.021843109,6.802323818,6.858242512
2018,MOZ,exkill,5.377222538,0.686874151,4.49802351,6.256421566
2017,MOZ,express,3.75051713,0.548156321,3.048877001,4.452157021
2018,MOZ,express,3.933947325,0.496689975,3.298184156,4.569710732
2017,MOZ,physint,5.547465801,0.808121145,4.513070583,6.581861019
2018,MOZ,physint,5.077062607,0.848974764,3.990374804,6.163750172
2017,MOZ,polpart,3.02848506,0.06618318,2.943770647,3.113199472
2018,MOZ,polpart,4.149311543,0.039825182,4.098335266,4.200287819
2017,MOZ,tort,2.784666777,0.426537067,2.238699436,3.330634117
2018,MOZ,tort,3.698009968,0.750026882,2.737975597,4.658044338
2017,NPL,arrest,7.417367935,0.102013454,7.286790848,7.547945023
2018,NPL,arrest,7.417367935,0.102013446,7.286790848,7.547945023
2017,NPL,assem,7.358912468,0.729884803,6.424659729,8.293165207
2018,NPL,assem,7.358912468,0.729884803,6.424659729,8.293165207
2017,NPL,disap,8.773349762,0.267692506,8.430703163,9.115996361
2018,NPL,disap,8.773349762,0.267692506,8.430703163,9.115996361
2017,NPL,dpex,9.932600021,0.513848305,9.274873734,10.59032631
2018,NPL,dpex,9.932594299,0.513837337,9.274882317,10.59030628
2017,NPL,empower,5.263507843,0.872846067,4.14626503,6.380750656
2018,NPL,empower,5.335151196,0.923066437,4.153625965,6.516676426
2017,NPL,execution,7.50500679,0.251967251,7.182488918,7.827524662
2018,NPL,execution,7.548294544,0.291894078,7.174670219,7.921918869
2017,NPL,exkill,7.50500679,0.251967251,7.182488918,7.827524662
2018,NPL,exkill,7.548294544,0.291894078,7.174670219,7.921918869
2017,NPL,express,3.709186316,0.302623034,3.321828842,4.096543789
2018,NPL,express,3.591196537,0.319585711,3.18212676,4.000266075
2017,NPL,physint,7.394081593,0.839356065,6.319705963,8.468457222
2018,NPL,physint,7.444926739,0.825886726,6.387791634,8.502061844
2017,NPL,polpart,5.758290291,0.466003507,5.16180563,6.354774952
2018,NPL,polpart,5.758290291,0.466003507,5.16180563,6.354774952
2017,NPL,tort,5.55017662,0.767453372,4.567836285,6.532516956
2018,NPL,tort,5.232378483,0.771307766,4.245104313,6.219652653
2017,NZL,arrest,8.646052361,0.399124444,8.135172844,9.156931877
2018,NZL,arrest,8.646052361,0.399124444,8.135172844,9.156931877
2017,NZL,assem,7.589692116,0.131856561,7.420915604,7.758468628
2018,NZL,assem,7.589692116,0.131856561,7.420915604,7.758468628
2017,NZL,disap,8.709670067,0.052844435,8.642028809,8.777311325
2018,NZL,disap,8.709670067,0.052844435,8.642028809,8.777311325
2017,NZL,dpex,8.840531349,0.034495972,8.796376228,8.88468647
2018,NZL,dpex,8.840537071,0.034487363,8.796393394,8.884680748
2017,NZL,empower,7.099226952,0.833874345,6.031867981,8.166585922
2018,NZL,empower,7.106297016,0.85167563,6.016152382,8.19644165
2017,NZL,execution,8.536786079,0.232971936,8.238581657,8.834990501
2018,NZL,execution,8.536786079,0.232971936,8.238581657,8.834990501
2017,NZL,exkill,8.536786079,0.232971936,8.238581657,8.834990501
2018,NZL,exkill,8.536786079,0.232971936,8.238581657,8.834990501
2017,NZL,express,7.352108479,0.165656954,7.140067577,7.56414938
2018,NZL,express,7.356660366,0.16576238,7.14448452,7.568836212
2017,NZL,physint,7.929245472,0.86222738,6.825594425,9.032896042
2018,NZL,physint,7.879376888,0.853094757,6.787415504,8.971338272
2017,NZL,polpart,6.672362328,0.130068749,6.505874157,6.838850498
2018,NZL,polpart,6.672362328,0.130068749,6.505874157,6.838850498
2017,NZL,tort,8.27007103,0.316544294,7.86489439,8.675248146
2018,NZL,tort,8.287899971,0.317671865,7.881279945,8.694519997
2017,SAU,arrest,1.690232992,0.399272025,1.179164767,2.201301098
2018,SAU,arrest,1.803735733,0.42753312,1.25649333,2.350978136
2017,SAU,assem,1.634525061,0.37430352,1.155416608,2.113633633
2018,SAU,assem,1.634525061,0.37430352,1.155416608,2.113633633
2017,SAU,disap,2.269889593,0.086099468,2.159682274,2.380096912
2018,SAU,disap,2.269888639,0.086099029,2.159681797,2.380095482
2017,SAU,dpex,1.005417466,0.417776644,0.470663369,1.540171623
2018,SAU,dpex,1.008666396,0.522906899,0.339345574,1.677987218
2017,SAU,empower,1.015911341,0.918690085,-0.160011962,2.191834688
2018,SAU,empower,1.329931617,0.879107356,0.204674199,2.45518899
2017,SAU,execution,1.005417466,0.417776644,0.470663369,1.540171623
2018,SAU,execution,1.008666396,0.522906899,0.339345574,1.677987218
2017,SAU,exkill,1.424475431,0.77441746,0.433221072,2.415729761
2018,SAU,exkill,2.50451827,1.008685112,1.213401318,3.795635223
2017,SAU,express,1.714477181,0.367629766,1.243911028,2.185043335
2018,SAU,express,2.083683014,0.350573808,1.634948492,2.532417536
2017,SAU,physint,1.895935893,0.909696281,0.731524646,3.06034708
2018,SAU,physint,2.327046633,0.868878663,1.214881897,3.439211369
2017,SAU,polpart,1.584320664,0.09849596,1.458245873,1.710395455
2018,SAU,polpart,1.584320664,0.098495953,1.458245873,1.710395455
2017,SAU,tort,1.694736362,0.572301328,0.962190688,2.427282095
2018,SAU,tort,1.676848531,0.716073155,0.760274887,2.593422174
2017,USA,arrest,3.181914806,0.044338595,3.125161409,3.238668203
2018,USA,arrest,4.370944977,0.047962591,4.30955267,4.432337284
2017,USA,assem,6.099921227,0.10402903,5.966763973,6.23307848
2018,USA,assem,6.099921227,0.10402903,5.966763973,6.23307848
2017,USA,disap,7.291245461,0.032564174,7.249563217,7.332927704
2018,USA,disap,7.291245461,0.032564174,7.249563217,7.332927704
2017,USA,dpex,5.146941662,0.093360074,5.027440548,5.266442776
2018,USA,dpex,5.322529316,0.089325152,5.208193302,5.43686533
2017,USA,empower,5.266097069,0.81940937,4.217253208,6.314940929
2018,USA,empower,5.259460449,0.806692243,4.226894379,6.29202652
2017,USA,execution,4.13039875,0.654320121,3.292869091,4.96792841
