country_code,year,metric_code,mean,low,high,sd
ALB,1997,ldi,0.727,0.67,0.799,0.065
ALB,1997,pdi,0.486,0.419,0.544,0.06
ALB,1998,ddi,0.691,0.563,0.795,0.633
ALB,1998,edi,0.401,0.353,0.445,0.049
ALB,1998,egdi,0.636,0.551,0.727,0.088
ALB,1998,ldi,0.741,0.674,0.796,0.061
ALB,1998,pdi,0.55,0.498,0.622,0.061
ALB,1999,ddi,0.697,0.562,0.793,0.629
ALB,1999,edi,0.404,0.355,0.446,0.049
ALB,1999,egdi,0.64,0.559,0.733,0.088
ALB,1999,ldi,0.749,0.692,0.815,0.062
ALB,1999,pdi,0.575,0.515,0.644,0.064
ALB,2000,ddi,0.702,0.587,0.807,0.63
ALB,2000,edi,0.414,0.364,0.461,0.05
ALB,2000,egdi,0.659,0.574,0.742,0.085
ALB,2000,ldi,0.762,0.7,0.822,0.061
ALB,2000,pdi,0.575,0.518,0.644,0.06
ALB,2001,ddi,0.748,0.637,0.845,0.633
ALB,2001,edi,0.443,0.392,0.495,0.054
ALB,2001,egdi,0.663,0.575,0.754,0.088
ALB,2001,ldi,0.775,0.724,0.843,0.059
ALB,2001,pdi,0.575,0.518,0.644,0.06
ALB,2002,ddi,0.744,0.641,0.852,0.636
ALB,2002,edi,0.492,0.43,0.547,0.059
ALB,2002,egdi,0.677,0.599,0.77,0.086
ALB,2002,ldi,0.773,0.711,0.823,0.055
ALB,2002,pdi,0.575,0.521,0.644,0.059
ALB,2003,ddi,0.745,0.63,0.842,0.632
ALB,2003,edi,0.499,0.438,0.558,0.061
ALB,2003,egdi,0.677,0.599,0.77,0.086
ALB,2003,ldi,0.764,0.711,0.826,0.058
ALB,2003,pdi,0.579,0.529,0.643,0.057
ALB,2004,ddi,0.754,0.631,0.842,0.634
ALB,2004,edi,0.5,0.436,0.553,0.058
ALB,2004,egdi,0.677,0.599,0.77,0.086
ALB,2004,ldi,0.773,0.716,0.828,0.056
ALB,2004,pdi,0.602,0.554,0.661,0.054
ALB,2005,ddi,0.812,0.709,0.888,0.632
ALB,2005,edi,0.522,0.458,0.584,0.063
ALB,2005,egdi,0.665,0.588,0.757,0.085
ALB,2005,ldi,0.773,0.716,0.828,0.056
ALB,2005,pdi,0.606,0.572,0.671,0.051
ALB,2006,ddi,0.788,0.661,0.868,0.634
ALB,2006,edi,0.548,0.478,0.611,0.067
ALB,2006,egdi,0.664,0.581,0.752,0.085
ALB,2006,ldi,0.773,0.716,0.828,0.056
ALB,2006,pdi,0.604,0.57,0.668,0.051
ALB,2007,ddi,0.745,0.615,0.835,0.632
ALB,2007,edi,0.551,0.484,0.61,0.062
ALB,2007,egdi,0.664,0.581,0.752,0.085
ALB,2007,ldi,0.773,0.716,0.828,0.056
ALB,2007,pdi,0.601,0.567,0.665,0.051
ALB,2008,ddi,0.745,0.615,0.835,0.632
ALB,2008,edi,0.552,0.48,0.602,0.061
ALB,2008,egdi,0.664,0.581,0.752,0.085
ALB,2008,ldi,0.779,0.729,0.841,0.057
ALB,2008,pdi,0.597,0.548,0.651,0.051
ALB,2009,ddi,0.73,0.62,0.827,0.626
ALB,2009,edi,0.551,0.485,0.607,0.061
ALB,2009,egdi,0.658,0.58,0.751,0.084
ALB,2009,ldi,0.785,0.73,0.842,0.056
ALB,2009,pdi,0.594,0.55,0.653,0.049
