country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
AFG,BasicSanitation,All,2014,39.37493209,82.50596133,0,47.72374196,0,39.37493209,82.50596133, 
AFG,BasicSanitation,All,2015,40.70770701,82.04759843,0,49.61474533,0,40.70770701,82.04759843, 
AFG,BasicSanitation,All,2016,42.05418277,81.89279241,0,51.3527278,0,42.05418277,81.89279241, 
AFG,BasicSanitation,All,2017,43.41761001,81.91626141,0,53.0024311,0,43.41761001,81.91626141, 
AFG,Contraception,All,2006,18.6,58.30655263,0,31.90035967,0,21.88235294,68.59594427, 
AFG,Contraception,All,2008,22.8,61.33406715,0,37.17346829,0,26.82352941,72.15772606, 
AFG,Contraception,All,2010,21.8,67.05292132,0,32.51163346,0,25.64705882,78.88578978, 
AFG,Contraception,All,2011,21.2,66.55848951,0,31.85168437,0,24.94117647,78.30410531, 
AFG,Contraception,All,2015,22.5,68.01816055,0,33.07940088,0,26.47058824,80.02136536, 
AFG,FoodSecure,All,2015,54.8,58.52402235,0,92.90986833,0,53.04347826,57.09132864, 
AFG,FoodSecure,All,2016,50.3,58.22349591,0,84.82771831,0,48.15217391,56.76466947, 
AFG,FoodSecure,All,2017,45.7,58.26907803,0,75.9531285,0,43.15217391,56.81421525, 
AFG,NetSecEnrol,All,2007,26.55995,55.51644554,0,47.84158954,0,26.55995,55.51644554, 
AFG,NetSecEnrol,All,2013,46.1909,69.91613666,0,66.0661504,0,46.1909,69.91613666, 
AFG,NetSecEnrol,All,2014,46.0584,69.70126269,0,66.07972112,0,46.0584,69.70126269, 
AFG,NetSecEnrol,All,2015,46.19837,69.16844374,0,66.79110806,0,46.19837,69.16844374, 
AFG,NetSecEnrol,All,2016,43.97317,68.98962744,0,63.73881354,0,43.97317,68.98962744, 
AFG,NetSecEnrol,All,2017,48.59792,69.01669978,0,70.41472593,0,48.59792,69.01669978, 
AFG,NetSecEnrol,Female,2007,14.40342,55.51644554,0,25.94442036,0,14.40342,55.51644554, 
AFG,NetSecEnrol,Female,2013,32.81661,69.91613666,0,46.93710432,0,32.81661,69.91613666, 
AFG,NetSecEnrol,Female,2014,33.15745,69.70126269,0,47.57080248,0,33.15745,69.70126269, 
AFG,NetSecEnrol,Female,2015,33.54472,69.16844374,0,48.49714435,0,33.54472,69.16844374, 
AFG,NetSecEnrol,Female,2016,30.41655,68.98962744,0,44.08858422,0,30.41655,68.98962744, 
AFG,NetSecEnrol,Female,2017,35.35436,69.01669978,0,51.22580493,0,35.35436,69.01669978, 
AFG,NetSecEnrol,Male,2007,37.98502,55.51644554,0,68.42120318,0,37.98502,55.51644554, 
AFG,NetSecEnrol,Male,2013,58.91203,69.91613666,0,84.26099154,0,58.91203,69.91613666, 
AFG,NetSecEnrol,Male,2014,58.33682,69.70126269,0,83.69549955,0,58.33682,69.70126269, 
AFG,NetSecEnrol,Male,2015,58.24788,69.16844374,0,84.2116388,0,58.24788,69.16844374, 
AFG,NetSecEnrol,Male,2016,56.85607,68.98962744,0,82.41249026,0,56.85607,68.98962744, 
AFG,NetSecEnrol,Male,2017,61.16228,69.01669978,0,88.61953729,0,61.16228,69.01669978, 
AFG,NotStunted,All,2004,40.7,69.46961736,0,25.21470362,0,14.54272864,57.67558824, 
AFG,NotStunted,All,2013,59.1,82.6857772,0,54.36698744,0,42.12893553,77.48992084, 
AFG,NotStunted,Female,2004,41.5,69.46961736,0,27.29426681,0,15.74212894,57.67558824, 
AFG,NotStunted,Male,2004,40,69.46961736,0,23.39508583,0,13.49325337,57.67558824, 
AFG,U5Survival,All,2007,89.99,95.59207673,0,79.69679199,0,68.71875,86.22523979, 
AFG,U5Survival,All,2008,90.41,95.66124564,0,81.0158743,0,70.03125,86.44139264, 
AFG,U5Survival,All,2009,90.81,96.33907872,0,80.48956082,0,71.28125,88.55962099, 
AFG,U5Survival,All,2010,91.2,96.70970224,0,80.8089189,0,72.5,89.7178195, 
AFG,U5Survival,All,2011,91.59,96.61905641,0,82.42759531,0,73.71875,89.43455128, 
AFG,U5Survival,All,2012,91.95,96.89750188,0,82.8791364,0,74.84375,90.30469337, 
AFG,U5Survival,All,2013,92.31,96.95756468,0,83.95042976,0,75.96875,90.49238964, 
AFG,U5Survival,All,2014,92.64,96.9371887,0,85.14994408,0,77,90.4287147, 
AFG,U5Survival,All,2015,92.96,96.88666277,0,86.40665833,0,78,90.27082115, 
AFG,U5Survival,All,2016,93.25,96.86970605,0,87.46192274,0,78.90625,90.21783141, 
AFG,U5Survival,All,2017,93.53,96.87227326,0,88.42393453,0,79.78125,90.22585392, 
AFG,U5Survival,Female,2010,91.58,97.00882022,0,81.28562217,0,73.6875,90.65256319, 
AFG,U5Survival,Female,2015,93.33,97.16969343,0,86.83670284,0,79.15625,91.15529195, 
AFG,U5Survival,Male,2010,90.85,96.41058426,0,80.42777223,0,71.40625,88.78307582, 
AFG,U5Survival,Male,2015,92.62,96.60363211,0,86.07298508,0,76.9375,89.38635035, 
AFG,WaterInHome,All,2007,23.6912,52.89195544,0,44.79168865,0,23.6912,52.89195544, 
