year,country_code,population,gdp_per_capita_2011ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd
2012,BGD,151007807.00000000000,2791.1720983800900,2844.7025647447500,883.10500054131300
2013,BGD,152764676.00000000000,2924.9920992906700,3033.4046320922700,981.83987915039900
2014,BGD,154520167.00000000000,3067.0328841017800,3240.8856233872600,1118.85366349270000
2015,BGD,156256276.00000000000,3231.6952371715600,3451.3985067060000,1248.45339778371000
2016,BGD,157970840.00000000000,3424.0106601440100,3696.7761931380200,1401.62062821515000
2017,BGD,159670593.00000000000,3634.3169540968100,3998.4194235374400,1563.99408178663000
2018,BGD,161356039.00000000000,3879.1615241068500,4371.7549858204600,1698.26280233547000
2006,BGR,7601022.00000000000,13374.9029906954000,11313.5508143539000,4490.20177692701000
2007,BGR,7545338.00000000000,14463.1673919163000,12800.8166750994000,5885.94925197955000
2008,BGR,7492561.00000000000,15442.1347998764000,14328.9898581008000,7261.75449200277000
2009,BGR,7444443.00000000000,14984.5899413924000,14146.1068964246000,6969.55855668357000
2010,BGR,7395599.00000000000,15283.2747066107000,14934.1327410450000,6843.26694975885000
2011,BGR,7348328.00000000000,15676.1333354642000,15676.1333354642000,7813.80669236432000
2012,BGR,7305888.00000000000,15772.0792812583000,16208.2204291165000,7378.02473005713000
2013,BGR,7265115.00000000000,15938.9336151633000,16571.0287616910000,7646.83986554542000
2014,BGR,7223938.00000000000,16324.3374794387000,17534.3032559292000,7864.76067225524000
2015,BGR,7177991.00000000000,16999.1064013733000,18186.4872278588000,6993.78348267387000
2016,BGR,7127822.00000000000,17792.6781448110000,19500.3294529732000,7469.45563823624000
2017,BGR,7075947.00000000000,18606.2139243880000,20948.1942754245000,8228.01156972650000
2018,BGR,7025037.00000000000,19320.7512338619000,21960.3699424605000,9272.62930360848000
2006,BHR,958418.00000000000,42672.5174642962000,39170.6851191320000,19307.60966331800000
2007,BHR,1035919.00000000000,42754.4835207745000,40300.1797819493000,20976.54353284380000
2008,BHR,1114641.00000000000,42215.1190747494000,40565.7798265568000,23066.50989832100000
2009,BHR,1185076.00000000000,40714.8017281234000,39422.3421012556000,19355.90467202640000
2010,BHR,1240860.00000000000,40570.7612040579000,39740.6179351310000,20722.13728913480000
2011,BHR,1278151.00000000000,40168.3278932788000,40168.3278932788000,22514.25875379790000
2012,BHR,1299943.00000000000,40967.4083486514000,41753.1013827456000,23654.37185044500000
2013,BHR,1315029.00000000000,42691.1094352072000,44273.4218466164000,24744.35763191570000
2014,BHR,1336075.00000000000,43846.5685541003000,46331.9824180705000,24989.38021459330000
2015,BHR,1371851.00000000000,43925.7201828869000,46911.9622733638000,22688.96378657340000
2016,BHR,1425791.00000000000,43731.9834240140000,47215.7861780145000,22619.11667188490000
2017,BHR,1494074.00000000000,43320.6561395570000,47660.7173057748000,23715.48274731560000
2018,BHR,1569439.00000000000,41973.1129337570000,47303.0485062895000,24050.75750539560000
2006,BHS,331033.00000000000,33037.6167730227000,30326.4527288646000,30713.70528013820000
2007,BHS,337389.00000000000,32884.1288424016000,30996.4287997450000,31472.09897181000000
2008,BHS,343681.00000000000,31531.8716337510000,30299.9254828370000,30627.23863117250000
2009,BHS,349604.00000000000,29703.4249165462000,28760.5128586491000,28552.19047836980000
2010,BHS,354942.00000000000,29706.9085147558000,29099.0572097207000,28443.40765533520000
2011,BHS,359577.00000000000,29503.7080684624000,29503.7080684624000,28006.37971839130000
2012,BHS,363584.00000000000,30079.2591725046000,30656.1339457737000,29485.62092941380000
2013,BHS,367168.00000000000,28906.3486795299000,29977.7397698355000,28768.02989367270000
2014,BHS,370633.00000000000,28847.0235756914000,30482.1981102924000,29445.03052885200000
2015,BHS,374206.00000000000,28742.3229678975000,30696.3383891008000,31405.96356017810000
2016,BHS,377931.00000000000,28586.0299456597000,30863.2669254018000,31588.83499898130000
2017,BHS,381761.00000000000,28318.1074283424000,31155.1447519368000,31827.24269896610000
2018,BHS,385640.00000000000,28472.2004633762000,32087.7291547443000,32217.87159008400000
2006,BIH,3765424.00000000000,8812.8005703931000,7406.3474482958300,3416.51059575811000
